Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,6005,6000,6077,8.40,0.000%,111.07409,18.01,13.12,166.0
TOTAL,1000,6005,6000,6077,8.40,0.000%,111.07409,18.01,13.12,166.0
