Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,2000,13125,0,47580,16243.72,50.000%,14.64526,19.65,0.87,1374.0
TOTAL,2000,13125,0,47580,16243.72,50.000%,14.64526,19.65,0.87,1374.0
